hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
1,1.459768389,1.35539655,1.35539655,1.459768389,1.459768389,1.459768389,1.482947911,1.482947911,1.459768389,1.459768389,1.459768389,1.309827265,1.309827265,1.488802793,1.619187744,1.539391693,1.482947911,1.433752044,1.309827265,1.619187744,1.619187744,1.619187744,1.488802793,1.539391693,1.539391693,1.539391693,1.433752044,1.539391693,1.539391693,1.35539655,1.539391693,1.539391693,1.309827265,1.309827265,1.309827265,1.309827265,1.619187744,1.668406611
2,1.426779273,1.345783809,1.345783809,1.426779273,1.426779273,1.426779273,1.487670675,1.487670675,1.426779273,1.426779273,1.426779273,1.348810219,1.348810219,1.541802245,1.65804825,1.574040381,1.487670675,1.482279036,1.348810219,1.65804825,1.65804825,1.65804825,1.541802245,1.574040381,1.574040381,1.574040381,1.482279036,1.574040381,1.574040381,1.345783809,1.574040381,1.574040381,1.348810219,1.348810219,1.348810219,1.348810219,1.65804825,1.715039094
3,1.402037436,1.340977438,1.340977438,1.402037436,1.402037436,1.402037436,1.497116203,1.497116203,1.402037436,1.402037436,1.402037436,1.379996582,1.379996582,1.585165434,1.67963742,1.603739256,1.497116203,1.526394484,1.379996582,1.67963742,1.67963742,1.67963742,1.585165434,1.603739256,1.603739256,1.603739256,1.526394484,1.603739256,1.603739256,1.340977438,1.603739256,1.603739256,1.379996582,1.379996582,1.379996582,1.379996582,1.67963742,1.751308803
4,1.402037436,1.340977438,1.340977438,1.402037436,1.402037436,1.402037436,1.501838967,1.501838967,1.402037436,1.402037436,1.402037436,1.376098287,1.376098287,1.589983566,1.67963742,1.613638881,1.501838967,1.539629118,1.376098287,1.67963742,1.67963742,1.67963742,1.589983566,1.613638881,1.613638881,1.613638881,1.539629118,1.613638881,1.613638881,1.340977438,1.613638881,1.613638881,1.376098287,1.376098287,1.376098287,1.376098287,1.67963742,1.746127416
5,1.402037436,1.345783809,1.345783809,1.402037436,1.402037436,1.402037436,1.511284495,1.511284495,1.402037436,1.402037436,1.402037436,1.376098287,1.376098287,1.589983566,1.675319586,1.618588693,1.511284495,1.544040663,1.376098287,1.675319586,1.675319586,1.675319586,1.589983566,1.618588693,1.618588693,1.618588693,1.544040663,1.618588693,1.618588693,1.345783809,1.618588693,1.618588693,1.376098287,1.376098287,1.376098287,1.376098287,1.675319586,1.740946029
6,1.406161075,1.360202921,1.360202921,1.406161075,1.406161075,1.406161075,1.520730023,1.520730023,1.406161075,1.406161075,1.406161075,1.376098287,1.376098287,1.594801698,1.65804825,1.623538506,1.520730023,1.539629118,1.376098287,1.65804825,1.65804825,1.65804825,1.594801698,1.623538506,1.623538506,1.623538506,1.539629118,1.623538506,1.623538506,1.360202921,1.623538506,1.623538506,1.376098287,1.376098287,1.376098287,1.376098287,1.65804825,1.720220481
7,1.410284715,1.369815663,1.369815663,1.410284715,1.410284715,1.410284715,1.520730023,1.520730023,1.410284715,1.410284715,1.410284715,1.372199991,1.372199991,1.585165434,1.675319586,1.618588693,1.520730023,1.548452208,1.372199991,1.675319586,1.675319586,1.675319586,1.585165434,1.618588693,1.618588693,1.618588693,1.548452208,1.618588693,1.618588693,1.369815663,1.618588693,1.618588693,1.372199991,1.372199991,1.372199991,1.372199991,1.675319586,1.715039094
8,1.410284715,1.403460258,1.403460258,1.410284715,1.410284715,1.410284715,1.525452787,1.525452787,1.410284715,1.410284715,1.410284715,1.372199991,1.372199991,1.585165434,1.65804825,1.593839631,1.525452787,1.535217573,1.372199991,1.65804825,1.65804825,1.65804825,1.585165434,1.593839631,1.593839631,1.593839631,1.535217573,1.593839631,1.593839631,1.403460258,1.593839631,1.593839631,1.372199991,1.372199991,1.372199991,1.372199991,1.65804825,1.658043837
9,1.410284715,1.422685741,1.422685741,1.410284715,1.410284715,1.410284715,1.530175551,1.530175551,1.410284715,1.410284715,1.410284715,1.376098287,1.376098287,1.585165434,1.645094748,1.569090568,1.530175551,1.521982939,1.376098287,1.645094748,1.645094748,1.645094748,1.585165434,1.569090568,1.569090568,1.569090568,1.521982939,1.569090568,1.569090568,1.422685741,1.569090568,1.569090568,1.376098287,1.376098287,1.376098287,1.376098287,1.645094748,1.637318289
10,1.397913796,1.393847516,1.393847516,1.397913796,1.397913796,1.397913796,1.520730023,1.520730023,1.397913796,1.397913796,1.397913796,1.372199991,1.372199991,1.589983566,1.601916409,1.549291318,1.520730023,1.491102126,1.372199991,1.601916409,1.601916409,1.601916409,1.589983566,1.549291318,1.549291318,1.549291318,1.491102126,1.549291318,1.549291318,1.393847516,1.549291318,1.549291318,1.372199991,1.372199991,1.372199991,1.372199991,1.601916409,1.595867193
11,1.393790157,1.384234775,1.384234775,1.393790157,1.393790157,1.393790157,1.501838967,1.501838967,1.393790157,1.393790157,1.393790157,1.364403401,1.364403401,1.570711037,1.567373737,1.544341505,1.501838967,1.473455947,1.364403401,1.567373737,1.567373737,1.567373737,1.570711037,1.544341505,1.544341505,1.544341505,1.473455947,1.544341505,1.544341505,1.384234775,1.544341505,1.544341505,1.364403401,1.364403401,1.364403401,1.364403401,1.567373737,1.538871936
12,1.385542878,1.369815663,1.369815663,1.385542878,1.385542878,1.385542878,1.501838967,1.501838967,1.385542878,1.385542878,1.385542878,1.372199991,1.372199991,1.570711037,1.532831065,1.539391693,1.501838967,1.442575133,1.372199991,1.532831065,1.532831065,1.532831065,1.570711037,1.539391693,1.539391693,1.539391693,1.442575133,1.539391693,1.539391693,1.369815663,1.539391693,1.539391693,1.372199991,1.372199991,1.372199991,1.372199991,1.532831065,1.471513905
