utc_timestamp,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
2019-01-01 00:00:00+01:00,2009.44,1404.7,1129.77,911.83,2108.68,662.23,588.16,640.61,865.81,776.32,995.78,1121.64,1361.1,337.76,696.43,1894.51,594.82,727.42,900.26,876.19,1167.07,1030.45,1386.0,2575.3,2228.16,1347.5,1117.2,1851.26,872.2,340.73,1109.78,633.61,833.75,848.59,467.39,1323.52,1576.93,1234.25
2019-01-01 01:00:00+01:00,2022.88,1443.08,1150.57,993.97,2064.04,677.69,659.19,609.27,871.56,750.74,963.99,1314.75,1304.07,347.63,772.53,1892.91,577.85,703.87,891.86,900.49,1179.55,1030.4,1420.26,2499.93,2201.35,1348.27,1056.97,1889.98,890.69,336.21,1163.15,614.84,854.76,881.0,520.55,1325.25,1589.69,1234.58
2019-01-01 02:00:00+01:00,1966.36,1397.39,1144.06,928.93,2014.46,629.25,627.97,579.47,816.72,708.29,915.72,1305.97,1270.75,332.63,747.95,1821.69,546.07,656.71,866.12,854.46,1115.73,927.59,1291.06,2530.56,2146.86,1337.58,1039.08,1846.6,827.56,306.28,1080.24,586.19,823.89,824.71,509.44,1254.37,1472.67,1164.35
2019-01-01 03:00:00+01:00,1924.97,1374.19,1091.85,880.67,1991.48,598.07,572.98,572.14,837.96,700.22,908.88,1432.15,1261.75,347.09,809.67,1823.9,536.37,654.79,877.0,843.32,1131.41,909.19,1249.1,2532.77,2118.55,1270.32,1013.63,1849.12,799.3,298.98,1049.21,560.09,861.05,877.04,524.91,1291.31,1457.26,1177.59
2019-01-01 04:00:00+01:00,1922.98,1370.71,1112.81,884.88,1957.93,598.05,587.65,569.56,817.58,696.56,894.94,1371.07,1254.0,339.21,775.58,1795.44,533.4,644.12,872.68,837.31,1107.37,890.63,1232.84,2518.95,2089.78,1289.57,1013.44,1819.58,794.91,292.51,1039.13,560.65,833.79,840.78,516.53,1255.15,1435.63,1152.78
2019-01-01 05:00:00+01:00,1843.36,1323.95,1053.55,870.31,1832.09,586.2,566.48,556.45,816.42,687.04,865.46,1351.77,1200.4,338.49,771.11,1731.48,522.33,635.92,857.55,821.77,1090.82,894.5,1229.3,2347.25,1966.56,1207.38,954.19,1732.52,782.87,288.15,1024.28,535.69,815.69,845.69,507.88,1237.22,1425.42,1134.69
2019-01-01 06:00:00+01:00,1884.78,1319.12,1112.54,848.83,1963.5,599.73,583.27,569.2,751.77,686.02,888.39,1085.18,1249.94,300.2,638.4,1724.29,531.93,631.77,818.65,798.76,1040.61,867.48,1203.99,2481.85,2082.0,1318.53,1048.05,1746.04,780.56,291.18,996.64,582.26,753.4,729.17,447.53,1163.82,1373.97,1088.19
2019-01-01 07:00:00+01:00,2389.25,1654.07,1408.89,868.27,2723.53,762.27,626.72,775.1,932.18,908.93,1218.15,1465.37,1761.78,354.35,837.4,2155.72,750.13,854.59,1001.47,982.44,1405.29,1009.71,1421.1,3433.91,2855.14,1734.0,1611.83,2411.83,947.84,353.76,1115.31,830.79,1037.0,920.61,523.38,1535.7,1575.24,1362.71
2019-01-01 08:00:00+01:00,3113.78,2197.34,1655.44,1262.37,3422.29,1003.37,756.53,1039.86,1465.42,1256.89,1636.95,2256.47,2242.28,577.02,1338.45,3041.01,979.06,1207.44,1458.21,1383.13,1996.9,1605.14,2123.37,4202.78,3597.4,1988.17,1856.4,3095.19,1331.32,530.24,1662.73,998.63,1503.82,1544.71,785.76,2291.38,2451.55,2036.98
2019-01-01 09:00:00+01:00,3988.98,2749.61,2348.33,1697.9,4376.29,1294.24,1190.3,1238.49,1533.22,1469.11,1951.16,2006.88,2741.57,584.27,1218.27,3630.91,1166.49,1369.98,1656.14,1653.3,2194.93,1832.56,2540.97,5381.44,4592.35,2866.2,2394.54,3755.2,1649.95,631.84,2048.77,1315.06,1561.65,1446.16,849.65,2432.2,2836.03,2269.34
2019-01-01 10:00:00+01:00,4330.98,3121.77,2332.91,1932.17,4570.69,1407.95,1194.11,1369.49,2052.93,1685.61,2179.7,3545.88,2962.13,831.5,2023.19,4205.4,1308.29,1614.21,2026.62,1968.65,2780.36,2221.28,3001.9,5625.57,4857.38,2729.0,2395.29,4320.67,1876.19,719.85,2417.99,1318.87,2120.99,2219.51,1213.01,3174.47,3438.49,2825.29
2019-01-01 11:00:00+01:00,4774.13,3357.16,2869.83,2194.68,4801.37,1577.83,1538.34,1477.55,1904.01,1791.35,2250.81,2602.47,3179.62,751.27,1551.72,4272.06,1395.68,1631.17,2087.07,2051.64,2652.35,2235.29,3128.64,6088.71,5138.42,3369.08,2698.05,4340.38,2026.42,737.31,2544.59,1514.45,1861.71,1802.43,1116.48,2911.55,3498.31,2735.86
2019-01-01 12:00:00+01:00,5809.09,4067.2,3479.2,2230.1,6193.05,2047.46,1632.67,2032.87,2367.35,2423.65,3041.44,3184.38,4373.12,865.69,1912.55,5066.21,2002.14,2245.89,2511.11,2504.77,3566.24,2706.92,3816.01,7725.67,6604.25,4206.26,4054.56,5658.61,2495.41,902.03,2829.15,2150.78,2461.94,2241.43,1220.8,3775.84,4033.07,3372.28
2019-01-01 13:00:00+01:00,6365.32,4503.72,3111.05,3264.15,6513.94,2234.73,1770.08,2153.11,3307.41,2687.41,3364.13,3708.88,4217.18,1281.16,2525.42,6543.34,1945.22,2602.85,3116.07,3024.04,4072.94,4156.74,5286.05,7275.54,6868.6,3668.97,3046.46,5661.39,3102.71,1318.65,4114.23,1914.85,2881.87,3383.71,1578.77,4830.98,6077.25,4540.84
2019-01-01 14:00:00+01:00,6378.84,4555.68,4459.51,3366.93,5623.71,2577.11,2859.27,2004.74,2026.36,2462.34,2841.99,1955.43,4136.76,695.79,1209.56,4706.16,2073.26,2118.24,2391.81,2779.44,3279.36,2876.63,4508.51,6879.32,6293.77,5181.96,4043.59,5401.41,2979.16,919.39,3459.22,2400.31,1838.66,1467.54,1238.42,3029.67,4223.98,3030.12
2019-01-01 15:00:00+01:00,5852.07,4018.19,2544.73,2807.17,6718.33,1955.25,1301.38,2008.86,3148.67,2459.27,3286.83,3146.48,3993.47,1196.51,2300.04,6449.99,1743.77,2477.84,2843.77,2712.31,3777.18,4033.34,4911.23,7177.73,6869.96,3201.29,2790.49,5343.19,2816.57,1324.34,3806.15,1745.24,2759.24,3279.59,1331.9,4693.65,5828.48,4401.42
2019-01-01 16:00:00+01:00,4865.99,3625.73,3253.0,3275.21,4060.86,1779.64,2535.77,1082.88,1645.52,1429.21,1751.27,3021.28,2346.1,696.86,1583.24,3986.29,1110.63,1233.73,1824.7,2196.39,2309.06,2229.59,3511.4,4858.83,4571.11,3601.04,1874.41,4140.78,2243.61,699.22,3154.52,1319.37,1531.18,1526.16,1418.98,2341.96,3583.61,2431.19
2019-01-01 17:00:00+01:00,2941.49,2156.43,1660.86,1280.75,2985.15,725.0,789.72,758.66,1336.48,939.77,1255.07,3237.19,1829.76,628.51,1670.5,2898.05,689.39,868.81,1456.67,1273.65,1740.65,1125.2,1563.59,4264.25,3193.33,1831.07,1334.28,3003.24,1053.28,368.11,1504.12,664.51,1518.03,1568.02,1030.77,2080.76,2084.92,1820.63
2019-01-01 18:00:00+01:00,2832.87,2025.04,1704.28,1170.45,2859.14,727.39,786.2,770.9,1154.78,931.64,1213.9,2474.37,1828.57,528.13,1295.41,2639.54,699.98,833.29,1345.67,1174.28,1557.48,1019.46,1444.46,4127.8,3058.29,1922.23,1443.75,2753.54,1004.64,342.11,1353.19,721.11,1286.4,1246.69,855.21,1807.41,1878.14,1618.66
2019-01-01 19:00:00+01:00,4138.41,2845.48,2620.43,1167.39,4694.98,1300.24,975.37,1437.42,1494.03,1653.22,2146.44,2468.49,3319.45,557.72,1355.3,3473.33,1421.04,1506.67,1747.16,1636.76,2453.98,1432.34,2120.18,6349.07,4962.1,3213.93,3249.67,4273.77,1525.97,515.18,1583.69,1568.43,1789.57,1407.16,834.27,2558.53,2304.3,2185.81
2019-01-01 20:00:00+01:00,6121.75,4222.21,2974.34,2374.6,7114.66,1954.66,1215.2,2152.89,3061.9,2579.21,3426.8,3931.2,4544.95,1174.12,2533.53,6328.68,1957.38,2538.39,2937.86,2718.17,4011.54,3508.32,4405.68,8382.63,7342.6,3704.19,3634.74,6021.68,2676.8,1172.11,3364.98,1980.67,3012.56,3214.67,1410.6,4770.38,5212.59,4273.16
2019-01-01 21:00:00+01:00,5944.57,4380.3,3435.1,3596.12,5224.39,2143.55,2392.45,1688.57,2675.05,2185.86,2617.5,3959.99,3377.59,1096.27,2339.81,5491.46,1612.25,2004.7,2695.15,2829.02,3421.68,3361.17,4689.86,6156.45,5760.37,3802.89,2471.35,5132.9,2858.07,1033.58,3909.31,1654.27,2371.4,2687.26,1713.02,3807.3,5142.94,3692.25
