utc_timestamp,load_consumption(MW)
2015-01-01 00:00:00,41151
2015-01-01 01:00:00,40135
2015-01-01 02:00:00,39106
2015-01-01 03:00:00,38765
2015-01-01 04:00:00,38941
2015-01-01 05:00:00,39045
2015-01-01 06:00:00,40206
2015-01-01 07:00:00,41133
2015-01-01 08:00:00,42963
2015-01-01 09:00:00,45088
2015-01-01 10:00:00,47013
2015-01-01 11:00:00,48159
2015-01-01 12:00:00,47164
2015-01-01 13:00:00,46752
2015-01-01 14:00:00,47403
2015-01-01 15:00:00,49440
2015-01-01 16:00:00,53410
2015-01-01 17:00:00,53672
2015-01-01 18:00:00,53012
2015-01-01 19:00:00,50313
2015-01-01 20:00:00,48730
2015-01-01 21:00:00,48624
2015-01-01 22:00:00,45668
2015-01-01 23:00:00,42424
2015-01-02 00:00:00,40577
2015-01-02 01:00:00,39707
2015-01-02 02:00:00,39504
2015-01-02 03:00:00,40391
2015-01-02 04:00:00,42382
2015-01-02 05:00:00,45679
2015-01-02 06:00:00,50418
2015-01-02 07:00:00,54131
2015-01-02 08:00:00,56505
2015-01-02 09:00:00,58447
2015-01-02 10:00:00,59453
2015-01-02 11:00:00,59201
2015-01-02 12:00:00,58564
2015-01-02 13:00:00,57721
2015-01-02 14:00:00,57276
2015-01-02 15:00:00,58813
2015-01-02 16:00:00,61605
2015-01-02 17:00:00,61645
2015-01-02 18:00:00,59283
2015-01-02 19:00:00,55622
2015-01-02 20:00:00,53186
2015-01-02 21:00:00,50691
2015-01-02 22:00:00,45323
2015-01-02 23:00:00,40464
2015-01-03 00:00:00,38338
2015-01-03 01:00:00,36897
2015-01-03 02:00:00,36104
2015-01-03 03:00:00,36453
2015-01-03 04:00:00,36839
2015-01-03 05:00:00,38073
2015-01-03 06:00:00,40819
2015-01-03 07:00:00,44119
2015-01-03 08:00:00,47421
2015-01-03 09:00:00,49756
2015-01-03 10:00:00,51917
2015-01-03 11:00:00,52205
2015-01-03 12:00:00,52147
2015-01-03 13:00:00,50677
2015-01-03 14:00:00,50478
2015-01-03 15:00:00,52820
2015-01-03 16:00:00,55854
2015-01-03 17:00:00,56259
2015-01-03 18:00:00,55017
2015-01-03 19:00:00,50801
2015-01-03 20:00:00,48359
2015-01-03 21:00:00,47968
2015-01-03 22:00:00,45427
2015-01-03 23:00:00,42806
2015-01-04 00:00:00,38517
2015-01-04 01:00:00,37082
2015-01-04 02:00:00,36575
2015-01-04 03:00:00,36793
2015-01-04 04:00:00,36336
2015-01-04 05:00:00,35592
2015-01-04 06:00:00,38255
2015-01-04 07:00:00,41037
2015-01-04 08:00:00,43899
2015-01-04 09:00:00,46915
2015-01-04 10:00:00,50252
2015-01-04 11:00:00,50784
2015-01-04 12:00:00,48824
2015-01-04 13:00:00,47517
2015-01-04 14:00:00,47398
2015-01-04 15:00:00,49465
2015-01-04 16:00:00,53400
2015-01-04 17:00:00,54108
2015-01-04 18:00:00,52621
2015-01-04 19:00:00,50243
2015-01-04 20:00:00,48877
2015-01-04 21:00:00,48808
2015-01-04 22:00:00,46024
2015-01-04 23:00:00,42658
2015-01-05 00:00:00,40699
2015-01-05 01:00:00,39447
2015-01-05 02:00:00,39513
2015-01-05 03:00:00,40440
2015-01-05 04:00:00,43931
2015-01-05 05:00:00,50074
2015-01-05 06:00:00,56244
2015-01-05 07:00:00,59860
2015-01-05 08:00:00,61179
2015-01-05 09:00:00,62104
2015-01-05 10:00:00,63018
2015-01-05 11:00:00,62952
2015-01-05 12:00:00,62108
2015-01-05 13:00:00,61182
2015-01-05 14:00:00,60450
2015-01-05 15:00:00,61342
2015-01-05 16:00:00,65130
2015-01-05 17:00:00,64886
2015-01-05 18:00:00,63242
2015-01-05 19:00:00,59162
2015-01-05 20:00:00,56346
2015-01-05 21:00:00,54730
2015-01-05 22:00:00,50564
2015-01-05 23:00:00,47317
2015-01-06 00:00:00,45011
2015-01-06 01:00:00,44015
2015-01-06 02:00:00,44049
2015-01-06 03:00:00,44730
2015-01-06 04:00:00,46416
2015-01-06 05:00:00,50597
2015-01-06 06:00:00,55697
2015-01-06 07:00:00,57954
2015-01-06 08:00:00,59295
2015-01-06 09:00:00,60723
2015-01-06 10:00:00,61744
2015-01-06 11:00:00,61628
2015-01-06 12:00:00,60697
2015-01-06 13:00:00,59259
2015-01-06 14:00:00,58836
2015-01-06 15:00:00,60089
2015-01-06 16:00:00,63969
2015-01-06 17:00:00,64219
2015-01-06 18:00:00,63346
2015-01-06 19:00:00,59695
2015-01-06 20:00:00,57114
2015-01-06 21:00:00,54886
2015-01-06 22:00:00,50639
2015-01-06 23:00:00,47308
2015-01-07 00:00:00,45125
2015-01-07 01:00:00,44217
2015-01-07 02:00:00,44368
2015-01-07 03:00:00,45298
2015-01-07 04:00:00,48598
2015-01-07 05:00:00,56626
2015-01-07 06:00:00,63293
2015-01-07 07:00:00,65964
2015-01-07 08:00:00,66400
2015-01-07 09:00:00,67746
2015-01-07 10:00:00,68507
2015-01-07 11:00:00,68100
2015-01-07 12:00:00,67248
2015-01-07 13:00:00,66044
2015-01-07 14:00:00,65496
2015-01-07 15:00:00,66191
2015-01-07 16:00:00,69647
2015-01-07 17:00:00,69425
2015-01-07 18:00:00,67467
2015-01-07 19:00:00,63605
2015-01-07 20:00:00,60469
2015-01-07 21:00:00,58348
2015-01-07 22:00:00,54070
2015-01-07 23:00:00,50460
2015-01-08 00:00:00,48041
2015-01-08 01:00:00,47074
2015-01-08 02:00:00,47228
2015-01-08 03:00:00,48253
2015-01-08 04:00:00,51155
2015-01-08 05:00:00,58605
2015-01-08 06:00:00,65447
2015-01-08 07:00:00,68569
2015-01-08 08:00:00,68599
2015-01-08 09:00:00,69484
2015-01-08 10:00:00,70635
2015-01-08 11:00:00,69962
2015-01-08 12:00:00,69062
2015-01-08 13:00:00,67835
2015-01-08 14:00:00,67765
2015-01-08 15:00:00,68183
2015-01-08 16:00:00,70139
2015-01-08 17:00:00,69246
2015-01-08 18:00:00,67516
2015-01-08 19:00:00,62992
2015-01-08 20:00:00,59524
2015-01-08 21:00:00,57518
2015-01-08 22:00:00,53026
2015-01-08 23:00:00,48517
2015-01-09 00:00:00,46472
2015-01-09 01:00:00,45546
2015-01-09 02:00:00,45568
2015-01-09 03:00:00,46950
2015-01-09 04:00:00,50426
2015-01-09 05:00:00,58351
2015-01-09 06:00:00,65555
2015-01-09 07:00:00,69326
2015-01-09 08:00:00,69495
2015-01-09 09:00:00,70357
2015-01-09 10:00:00,70829
2015-01-09 11:00:00,69565
2015-01-09 12:00:00,68267
2015-01-09 13:00:00,66887
2015-01-09 14:00:00,66518
2015-01-09 15:00:00,67566
2015-01-09 16:00:00,70120
2015-01-09 17:00:00,69465
2015-01-09 18:00:00,66230
2015-01-09 19:00:00,61923
2015-01-09 20:00:00,58868
2015-01-09 21:00:00,55441
2015-01-09 22:00:00,51740
2015-01-09 23:00:00,47944
2015-01-10 00:00:00,45889
2015-01-10 01:00:00,44455
2015-01-10 02:00:00,43933
2015-01-10 03:00:00,43836
2015-01-10 04:00:00,43841
2015-01-10 05:00:00,44671
2015-01-10 06:00:00,48011
2015-01-10 07:00:00,52333
2015-01-10 08:00:00,55587
2015-01-10 09:00:00,57068
2015-01-10 10:00:00,58679
2015-01-10 11:00:00,59031
2015-01-10 12:00:00,57469
2015-01-10 13:00:00,55753
2015-01-10 14:00:00,54425
2015-01-10 15:00:00,55698
2015-01-10 16:00:00,59546
2015-01-10 17:00:00,59665
2015-01-10 18:00:00,57456
2015-01-10 19:00:00,53439
2015-01-10 20:00:00,51071
2015-01-10 21:00:00,50351
2015-01-10 22:00:00,47188
2015-01-10 23:00:00,43422
2015-01-11 00:00:00,41048
2015-01-11 01:00:00,39718
2015-01-11 02:00:00,39187
2015-01-11 03:00:00,39643
2015-01-11 04:00:00,39494
2015-01-11 05:00:00,38786
2015-01-11 06:00:00,40821
2015-01-11 07:00:00,44081
2015-01-11 08:00:00,47653
2015-01-11 09:00:00,51246
2015-01-11 10:00:00,54420
2015-01-11 11:00:00,54436
2015-01-11 12:00:00,52716
2015-01-11 13:00:00,51569
2015-01-11 14:00:00,51194
2015-01-11 15:00:00,52466
2015-01-11 16:00:00,57143
2015-01-11 17:00:00,58328
2015-01-11 18:00:00,56551
2015-01-11 19:00:00,53601
2015-01-11 20:00:00,51979
2015-01-11 21:00:00,52143
2015-01-11 22:00:00,48829
2015-01-11 23:00:00,45904
2015-01-12 00:00:00,44192
2015-01-12 01:00:00,43720
2015-01-12 02:00:00,44011
2015-01-12 03:00:00,45401
2015-01-12 04:00:00,49613
2015-01-12 05:00:00,58225
2015-01-12 06:00:00,66110
2015-01-12 07:00:00,69474
2015-01-12 08:00:00,69448
2015-01-12 09:00:00,70736
2015-01-12 10:00:00,72115
2015-01-12 11:00:00,72023
2015-01-12 12:00:00,71376
2015-01-12 13:00:00,70197
2015-01-12 14:00:00,69066
2015-01-12 15:00:00,69524
2015-01-12 16:00:00,71371
2015-01-12 17:00:00,71236
2015-01-12 18:00:00,69205
2015-01-12 19:00:00,64685
2015-01-12 20:00:00,61344
2015-01-12 21:00:00,58672
2015-01-12 22:00:00,54030
2015-01-12 23:00:00,50153
2015-01-13 00:00:00,48218
2015-01-13 01:00:00,47184
2015-01-13 02:00:00,47064
2015-01-13 03:00:00,48760
2015-01-13 04:00:00,51849
2015-01-13 05:00:00,59116
2015-01-13 06:00:00,66543
2015-01-13 07:00:00,68723
2015-01-13 08:00:00,68327
2015-01-13 09:00:00,68374
2015-01-13 10:00:00,68865
2015-01-13 11:00:00,68469
2015-01-13 12:00:00,67876
2015-01-13 13:00:00,65875
2015-01-13 14:00:00,65983
2015-01-13 15:00:00,66634
2015-01-13 16:00:00,70119
2015-01-13 17:00:00,69850
2015-01-13 18:00:00,67174
2015-01-13 19:00:00,62622
2015-01-13 20:00:00,59175
2015-01-13 21:00:00,56499
2015-01-13 22:00:00,51949
2015-01-13 23:00:00,47556
2015-01-14 00:00:00,45320
2015-01-14 01:00:00,44513
2015-01-14 02:00:00,45026
2015-01-14 03:00:00,46695
2015-01-14 04:00:00,50345
2015-01-14 05:00:00,58474
2015-01-14 06:00:00,65984
2015-01-14 07:00:00,68576
2015-01-14 08:00:00,67873
2015-01-14 09:00:00,68878
2015-01-14 10:00:00,69582
2015-01-14 11:00:00,68658
2015-01-14 12:00:00,68577
2015-01-14 13:00:00,67760
2015-01-14 14:00:00,67144
2015-01-14 15:00:00,67198
2015-01-14 16:00:00,70156
2015-01-14 17:00:00,69595
2015-01-14 18:00:00,67587
2015-01-14 19:00:00,63598
2015-01-14 20:00:00,60156
2015-01-14 21:00:00,57358
2015-01-14 22:00:00,53648
2015-01-14 23:00:00,50014
2015-01-15 00:00:00,48098
2015-01-15 01:00:00,47108
2015-01-15 02:00:00,47519
2015-01-15 03:00:00,48517
2015-01-15 04:00:00,51717
2015-01-15 05:00:00,59216
2015-01-15 06:00:00,65894
2015-01-15 07:00:00,68785
2015-01-15 08:00:00,68630
2015-01-15 09:00:00,69475
2015-01-15 10:00:00,70517
2015-01-15 11:00:00,69712
2015-01-15 12:00:00,69201
2015-01-15 13:00:00,68197
2015-01-15 14:00:00,67579
2015-01-15 15:00:00,67480
2015-01-15 16:00:00,70186
2015-01-15 17:00:00,69592
2015-01-15 18:00:00,67819
2015-01-15 19:00:00,63806
2015-01-15 20:00:00,60304
2015-01-15 21:00:00,57580
2015-01-15 22:00:00,53037
2015-01-15 23:00:00,49276
2015-01-16 00:00:00,46279
2015-01-16 01:00:00,44534
2015-01-16 02:00:00,45939
2015-01-16 03:00:00,47898
2015-01-16 04:00:00,51456
2015-01-16 05:00:00,59074
2015-01-16 06:00:00,66271
2015-01-16 07:00:00,68400
2015-01-16 08:00:00,68027
2015-01-16 09:00:00,68375
2015-01-16 10:00:00,68696
2015-01-16 11:00:00,67681
2015-01-16 12:00:00,66189
2015-01-16 13:00:00,64631
2015-01-16 14:00:00,63772
2015-01-16 15:00:00,64204
2015-01-16 16:00:00,67360
2015-01-16 17:00:00,66923
2015-01-16 18:00:00,64680
2015-01-16 19:00:00,60464
2015-01-16 20:00:00,57066
2015-01-16 21:00:00,54807
2015-01-16 22:00:00,50985
2015-01-16 23:00:00,47703
2015-01-17 00:00:00,45369
2015-01-17 01:00:00,44383
2015-01-17 02:00:00,44029
2015-01-17 03:00:00,44168
2015-01-17 04:00:00,43903
