utc_timestamp,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
2019-01-01 00:00:00+01:00,2390900.13,1320973.8,1192211.0,914038.55,2086851.41,626279.53,658717.79,595159.1,913583.44,667435.67,941879.78,374352.57,582278.36,226453.51,420041.47,1242956.0,486370.36,503808.19,306695.18,718185.15,772211.2,419437.75,928684.24,2802473.02,1809294.76,990458.99,1012959.36,2084189.93,690380.97,187332.92,831030.78,602696.2,565397.21,673131.87,318063.08,968671.55,686065.18,932342.48
2019-01-01 01:00:00+01:00,2321955.45,1297934.44,1173636.27,884674.23,2053774.7,619676.9,651072.39,586809.21,905865.76,652145.41,921681.91,369091.17,580387.17,224447.62,414862.93,1221097.98,484570.06,498046.23,303041.71,713671.53,760672.37,411453.37,918210.12,2795602.82,1784176.07,971445.17,998028.74,2098442.29,680656.95,186108.25,819157.95,606502.89,561425.83,667074.91,318028.57,960119.41,674512.18,926409.71
2019-01-01 02:00:00+01:00,2279665.51,1277914.11,1151293.47,866925.81,2026630.33,613436.66,640781.77,578906.38,891244.11,639040.15,904599.41,364951.16,573222.25,221519.36,407277.52,1203370.33,475459.07,493121.95,299040.23,704385.21,750292.1,405215.68,906985.52,2723961.42,1752558.55,953304.84,984321.41,2043900.25,669552.58,184318.71,807213.8,590021.9,550988.97,657973.0,311893.55,941835.3,665614.7,913860.81
2019-01-01 03:00:00+01:00,2237375.58,1257893.78,1128950.67,849177.39,1999485.97,607196.41,630491.14,571003.55,876622.46,625934.9,887516.91,360811.15,566057.32,218591.1,399692.12,1185642.68,466348.08,488197.67,295038.75,695098.88,739911.83,398977.99,895760.93,2652320.02,1720941.03,935164.51,970614.08,1989358.22,658448.21,182529.17,795269.66,573540.92,540552.1,648871.09,305758.53,923551.19,656717.22,901311.91
2019-01-01 04:00:00+01:00,2322346.01,1280844.22,1154173.1,888736.26,2008844.21,613038.48,641484.82,579587.03,887881.98,645501.28,914523.28,365194.02,566098.59,220524.32,404682.31,1190716.16,470432.72,491855.41,298292.06,696688.74,744786.96,404420.77,908758.56,2648727.38,1727357.66,949349.28,987131.66,1998097.23,665838.77,185024.42,801364.68,578962.1,547569.75,654928.67,306603.56,925439.98,666128.96,907333.31
2019-01-01 05:00:00+01:00,2407316.44,1303794.66,1179395.53,928295.12,2018202.45,618880.55,652478.5,588170.5,899141.5,665067.67,941529.65,369576.89,566139.86,222457.54,409672.5,1195789.64,474517.37,495513.15,301545.37,698278.59,749662.08,409863.55,921756.2,2645134.74,1733774.29,963534.05,1003649.24,2006836.25,673229.34,187519.67,807459.7,584383.28,554587.41,660986.24,307448.59,927328.77,675540.7,913354.7
2019-01-01 06:00:00+01:00,2492286.87,1326745.11,1204617.97,967853.98,2027560.7,624722.62,663472.18,596753.98,910401.02,684634.05,968536.03,373959.77,566181.12,224390.76,414662.69,1200863.11,478602.02,499170.89,304798.68,699868.45,754537.21,415306.32,934753.83,2641542.1,1740190.91,977718.81,1020166.82,2015575.27,680619.9,190014.93,813554.72,589804.46,561605.07,667043.82,308293.62,929217.56,684952.44,919376.1
2019-01-01 07:00:00+01:00,2607716.13,1364822.58,1255540.88,1022151.09,2048321.55,631902.07,684216.79,609800.39,938684.56,717087.85,1012232.12,380174.12,572493.74,228994.05,428738.45,1215016.32,495677.6,503661.2,310878.31,708512.92,764254.47,424557.13,954971.03,2753580.32,1775344.26,1007989.93,1046473.92,2128687.81,696875.49,193488.97,827897.16,626950.34,582464.73,680837.0,318160.0,952448.68,698580.09,936842.89
2019-01-01 08:00:00+01:00,2723145.39,1402900.05,1306463.79,1076448.21,2069082.41,639081.53,704961.39,622846.79,966968.09,749541.65,1055928.22,386388.47,578806.36,233597.33,442814.2,1229169.53,512753.18,508151.5,316957.93,717157.4,773971.74,433807.94,975188.22,2865618.53,1810497.6,1038261.05,1072781.02,2241800.36,713131.08,196963.02,842239.59,664096.23,603324.4,694630.19,328026.38,975679.8,712207.73,954309.69
2019-01-01 09:00:00+01:00,2679116.02,1400568.73,1313610.75,1056302.85,2084723.7,633666.57,703576.79,618979.62,975798.15,747006.66,1052367.95,385285.32,586567.36,235048.07,450519.14,1244277.63,523660.3,505592.32,318955.25,722478.27,777606.26,436940.09,972828.75,3023764.29,1849850.43,1049923.74,1070388.83,2354439.58,717721.38,195604.6,849369.67,694770.56,612463.88,697165.69,337577.18,1005096.74,711499.41,961388.47
